lon,lat,value
335.5,-75.25,0.28319165
164.5,-74.75,-1.4546452
165.5,-74.75,-1.4245689
166.5,-74.75,-1.3100926
167.5,-74.75,-1.1247876
168.5,-74.75,-0.8913959
169.5,-74.75,-0.64605904
170.5,-74.75,-0.42368907
171.5,-74.75,-0.20136271
172.5,-74.75,0.0147155635
173.5,-74.75,0.21536672
174.5,-74.75,0.41599393
175.5,-74.75,0.63050526
176.5,-74.75,0.8576307
177.5,-74.75,1.0759978
178.5,-74.75,1.2584015
179.5,-74.75,1.4022723
180.5,-74.75,1.5423342
181.5,-74.75,1.7668142
182.5,-74.75,2.1245918
183.5,-74.75,2.5277615
184.5,-74.75,2.8729146
185.5,-74.75,3.1016214
186.5,-74.75,3.2408762
187.5,-74.75,3.323539
188.5,-74.75,3.3721342
189.5,-74.75,3.4015484
190.5,-74.75,3.4132035
191.5,-74.75,3.405757
192.5,-74.75,3.3844528
193.5,-74.75,3.3561392
194.5,-74.75,3.3266525
195.5,-74.75,3.3001635
196.5,-74.75,3.2782362
197.5,-74.75,3.2594736
198.5,-74.75,3.2433665
199.5,-74.75,3.2307408
200.5,-74.75,3.2150767
201.5,-74.75,3.1886966
202.5,-74.75,3.1420403
203.5,-74.75,3.0671883
204.5,-74.75,2.957382
205.5,-74.75,2.7991276
206.5,-74.75,2.5804386
207.5,-74.75,2.3030019
208.5,-74.75,1.9807839
209.5,-74.75,1.6392256
210.5,-74.75,1.3160672
211.5,-74.75,1.0323709
212.5,-74.75,0.8036271
213.5,-74.75,0.6473564
214.5,-74.75,0.5481269
215.5,-74.75,0.47882447
216.5,-74.75,0.42611557
217.5,-74.75,0.3769786
218.5,-74.75,0.3241125
219.5,-74.75,0.27453867
220.5,-74.75,0.23668583
221.5,-74.75,0.19998078
222.5,-74.75,0.17566566
250.5,-74.75,-1.1805532
251.5,-74.75,-1.0866934
252.5,-74.75,-0.9707643
253.5,-74.75,-0.8410349
254.5,-74.75,-0.7008865
255.5,-74.75,-0.57286257
256.5,-74.75,-0.49192178
299.5,-74.75,-1.0315374
300.5,-74.75,-1.0003153
301.5,-74.75,-0.9355878
302.5,-74.75,-0.8558542
303.5,-74.75,-0.7733748
304.5,-74.75,-0.7082351
305.5,-74.75,-0.66765434
306.5,-74.75,-0.6495106
307.5,-74.75,-0.6298069
308.5,-74.75,-0.59420806
309.5,-74.75,-0.5525079
310.5,-74.75,-0.49852374
311.5,-74.75,-0.4373994
312.5,-74.75,-0.38039002
313.5,-74.75,-0.32363355
314.5,-74.75,-0.27140385
315.5,-74.75,-0.22552776
316.5,-74.75,-0.18031475
317.5,-74.75,-0.14206235
318.5,-74.75,-0.10717633
319.5,-74.75,-0.07309886
320.5,-74.75,-0.046045594
321.5,-74.75,-0.019942276
322.5,-74.75,0.011490462
323.5,-74.75,0.036279682
324.5,-74.75,0.06010175
325.5,-74.75,0.080258645
326.5,-74.75,0.097256385
327.5,-74.75,0.11576468
328.5,-74.75,0.13611203
329.5,-74.75,0.1595355
330.5,-74.75,0.18504219
331.5,-74.75,0.21053039
332.5,-74.75,0.23273097
333.5,-74.75,0.2567705
334.5,-74.75,0.28592917
335.5,-74.75,0.31578982
165.5,-74.25,-1.5552627
166.5,-74.25,-1.4619868
167.5,-74.25,-1.352409
168.5,-74.25,-1.1264621
169.5,-74.25,-0.8392562
170.5,-74.25,-0.5608271
171.5,-74.25,-0.28465807
172.5,-74.25,0.0012975909
173.5,-74.25,0.29847166
174.5,-74.25,0.6308161
175.5,-74.25,1.0089082
176.5,-74.25,1.3882589
177.5,-74.25,1.7059516
178.5,-74.25,1.9173871
179.5,-74.25,2.0489
180.5,-74.25,2.1522148
181.5,-74.25,2.292985
182.5,-74.25,2.5360332
183.5,-74.25,2.82486
184.5,-74.25,3.091377
185.5,-74.25,3.2810125
186.5,-74.25,3.4048371
187.5,-74.25,3.4840336
188.5,-74.25,3.534167
189.5,-74.25,3.5660207
190.5,-74.25,3.5872514
191.5,-74.25,3.5979617
192.5,-74.25,3.6016169
193.5,-74.25,3.6010997
194.5,-74.25,3.5991724
195.5,-74.25,3.5975337
196.5,-74.25,3.596282
197.5,-74.25,3.5960865
198.5,-74.25,3.5955544
199.5,-74.25,3.5939019
200.5,-74.25,3.5894387
201.5,-74.25,3.5804868
202.5,-74.25,3.5647483
203.5,-74.25,3.536834
204.5,-74.25,3.4933298
205.5,-74.25,3.4264216
206.5,-74.25,3.3247364
207.5,-74.25,3.1794534
208.5,-74.25,2.9856749
209.5,-74.25,2.7427175
210.5,-74.25,2.4625635
211.5,-74.25,2.1568205
212.5,-74.25,1.838757
