region,time,lev,calc
Arctic,1882,2500.0,2.7803283e-06
Arctic,1882,3500.0,1.5570421e-06
Arctic,1882,4500.0,1.1797002e-06
Arctic,1882,5500.0,1.0147336e-06
Arctic,1882,6500.0,8.943119e-07
Arctic,1882,7500.0,8.0043685e-07
Arctic,1882,8500.0,7.0888746e-07
Arctic,1882,9500.0,6.3470156e-07
Arctic,1882,10500.0,5.6140914e-07
Arctic,1882,11500.0,4.955573e-07
Arctic,1882,12500.0,4.4505884e-07
Arctic,1882,13500.0,4.1117192e-07
Arctic,1882,14500.0,3.8584747e-07
Arctic,1883,500.0,1.45534805e-05
Arctic,1883,1500.0,9.36038e-06
Arctic,1883,2500.0,3.4555494e-06
Arctic,1883,3500.0,1.3748489e-06
Arctic,1883,4500.0,1.0287017e-06
Arctic,1883,5500.0,8.419778e-07
Arctic,1883,6500.0,7.388479e-07
Arctic,1883,7500.0,6.6194656e-07
Arctic,1883,8500.0,5.893884e-07
Arctic,1883,9500.0,5.1945955e-07
Arctic,1883,10500.0,4.5393813e-07
Arctic,1883,11500.0,3.9403528e-07
Arctic,1883,12500.0,3.5096303e-07
Arctic,1883,13500.0,3.2556133e-07
Arctic,1883,14500.0,3.0637486e-07
Arctic,1884,500.0,7.41435e-06
Arctic,1884,1500.0,5.93095e-06
Arctic,1884,2500.0,4.094811e-06
Arctic,1884,3500.0,1.9329732e-06
Arctic,1884,4500.0,1.1259601e-06
Arctic,1884,5500.0,9.20945e-07
Arctic,1884,6500.0,8.0272e-07
Arctic,1884,7500.0,7.1114715e-07
Arctic,1884,8500.0,6.3049276e-07
Arctic,1884,9500.0,5.579762e-07
Arctic,1884,10500.0,4.903183e-07
Arctic,1884,11500.0,4.2894035e-07
Arctic,1884,12500.0,3.8375822e-07
Arctic,1884,13500.0,3.5481781e-07
Arctic,1884,14500.0,3.3347135e-07
Arctic,1885,500.0,2.1116228e-05
Arctic,1885,1500.0,1.5137584e-05
Arctic,1885,2500.0,6.6087964e-06
Arctic,1885,3500.0,2.4347378e-06
Arctic,1885,4500.0,1.4100904e-06
Arctic,1885,5500.0,1.1472671e-06
Arctic,1885,6500.0,9.801081e-07
Arctic,1885,7500.0,8.5770444e-07
Arctic,1885,8500.0,7.56555e-07
Arctic,1885,9500.0,6.6776613e-07
Arctic,1885,10500.0,5.83557e-07
Arctic,1885,11500.0,5.089583e-07
Arctic,1885,12500.0,4.5105065e-07
Arctic,1885,13500.0,4.1475423e-07
Arctic,1885,14500.0,3.862789e-07
Arctic,1886,500.0,4.2958663e-06
Arctic,1886,1500.0,3.462956e-06
Arctic,1886,2500.0,2.451499e-06
Arctic,1886,3500.0,1.6775732e-06
Arctic,1886,4500.0,1.2000927e-06
Arctic,1886,5500.0,9.420441e-07
Arctic,1886,6500.0,7.650854e-07
Arctic,1886,7500.0,6.280634e-07
Arctic,1886,8500.0,5.152722e-07
Arctic,1886,9500.0,4.1486982e-07
Arctic,1886,10500.0,3.2953338e-07
Arctic,1886,11500.0,2.5798823e-07
Arctic,1886,12500.0,2.070799e-07
Arctic,1886,13500.0,1.7708398e-07
Arctic,1886,14500.0,1.5629784e-07
Arctic,1887,500.0,8.363777e-06
Arctic,1887,1500.0,5.446783e-06
Arctic,1887,2500.0,3.3610047e-06
Arctic,1887,3500.0,1.6874774e-06
Arctic,1887,4500.0,1.0921864e-06
Arctic,1887,5500.0,9.049221e-07
Arctic,1887,6500.0,7.9278425e-07
Arctic,1887,7500.0,7.077851e-07
Arctic,1887,8500.0,6.3196495e-07
Arctic,1887,9500.0,5.626629e-07
Arctic,1887,10500.0,4.982965e-07
Arctic,1887,11500.0,4.3790848e-07
Arctic,1887,12500.0,3.9117245e-07
Arctic,1887,13500.0,3.625586e-07
Arctic,1887,14500.0,3.3999922e-07
Arctic,1888,500.0,1.8902081e-06
Arctic,1888,1500.0,1.456994e-06
Arctic,1888,2500.0,1.123878e-06
Arctic,1888,3500.0,9.0981143e-07
Arctic,1888,4500.0,8.259707e-07
Arctic,1888,5500.0,7.563822e-07
Arctic,1888,6500.0,6.848199e-07
Arctic,1888,7500.0,6.14498e-07
Arctic,1888,8500.0,5.46084e-07
Arctic,1888,9500.0,4.8236336e-07
Arctic,1888,10500.0,4.2100754e-07
Arctic,1888,11500.0,3.6264106e-07
Arctic,1888,12500.0,3.196415e-07
Arctic,1888,13500.0,2.9291357e-07
Arctic,1888,14500.0,2.7212724e-07
Arctic,1889,500.0,2.4713906e-06
Arctic,1889,1500.0,1.9704044e-06
Arctic,1889,2500.0,1.3623652e-06
Arctic,1889,3500.0,1.0804262e-06
Arctic,1889,4500.0,9.2477296e-07
Arctic,1889,5500.0,8.0947905e-07
Arctic,1889,6500.0,7.187851e-07
Arctic,1889,7500.0,6.4482754e-07
Arctic,1889,8500.0,5.7782813e-07
Arctic,1889,9500.0,5.159634e-07
Arctic,1889,10500.0,4.5515935e-07
Arctic,1889,11500.0,3.9807506e-07
Arctic,1889,12500.0,3.5530027e-07
Arctic,1889,13500.0,3.289873e-07
Arctic,1889,14500.0,3.0908927e-07
Arctic,1890,500.0,2.04149e-06
Arctic,1890,1500.0,1.5821515e-06
Arctic,1890,2500.0,1.1022114e-06
Arctic,1890,3500.0,9.0282646e-07
Arctic,1890,4500.0,7.714823e-07
Arctic,1890,5500.0,6.7256906e-07
Arctic,1890,6500.0,5.9240887e-07
Arctic,1890,7500.0,5.252164e-07
Arctic,1890,8500.0,4.6391014e-07
Arctic,1890,9500.0,4.0362627e-07
Arctic,1890,10500.0,3.4662668e-07
Arctic,1890,11500.0,2.9191878e-07
Arctic,1890,12500.0,2.5095113e-07
Arctic,1890,13500.0,2.2598832e-07
Arctic,1890,14500.0,2.0904886e-07
Arctic,1891,500.0,6.4759006e-06
Arctic,1891,1500.0,4.7277554e-06
Arctic,1891,2500.0,2.6614705e-06
Arctic,1891,3500.0,1.519889e-06
Arctic,1891,4500.0,8.2977596e-07
Arctic,1891,5500.0,6.4880055e-07
Arctic,1891,6500.0,5.659511e-07
Arctic,1891,7500.0,4.979203e-07
Arctic,1891,8500.0,4.3441275e-07
Arctic,1891,9500.0,3.7513024e-07
Arctic,1891,10500.0,3.1961432e-07
Arctic,1891,11500.0,2.6596442e-07
Arctic,1891,12500.0,2.2662832e-07
Arctic,1891,13500.0,2.0362027e-07
Arctic,1891,14500.0,1.8836616e-07
Arctic,1892,500.0,1.5787148e-06
Arctic,1892,1500.0,1.2164987e-06
Arctic,1892,2500.0,9.242569e-07
Arctic,1892,3500.0,7.6917735e-07
Arctic,1892,4500.0,7.257464e-07
Arctic,1892,5500.0,6.796591e-07
Arctic,1892,6500.0,6.1820185e-07
Arctic,1892,7500.0,5.556788e-07
Arctic,1892,8500.0,4.9937455e-07
Arctic,1892,9500.0,4.4118207e-07
Arctic,1892,10500.0,3.8319374e-07
Arctic,1892,11500.0,3.2669598e-07
Arctic,1892,12500.0,2.8592774e-07
Arctic,1892,13500.0,2.6146753e-07
Arctic,1892,14500.0,2.4272384e-07
Arctic,1893,500.0,3.450898e-06
Arctic,1893,1500.0,2.764808e-06
Arctic,1893,2500.0,1.5578371e-06
